Index,Name,Movie,Year,Age
1,"Janet Gaynor","Seventh Heaven",,
2,,,1929,37
,"Norma Shearer","The Divorcee",,
4,"Marie Dressler","Min and Bill",1931,63
5,"Helen Hayes","The Sin of Madelon Claudet",1932,32
6,"Katharine Hepburn","Morning Glory",1933,26
7,"Claudette Colbert","It Happened One Night",1934,31
8,"Bette Davis",Dangerous,1935,27
9,"Luise Rainer","The Great Ziegfeld",1936,27
10,"Luise Rainer","The Good Earth",1937,28
11,"Bette Davis",Jezebel,1938,30
12,"Vivien Leigh","Gone with the Wind",1939,26
13,"Ginger Rogers","Kitty Foyle",1940,29
14,"Joan Fontaine",Suspicion,1941,24
15,"Greer Garson","Mrs. Miniver",1942,38
16,"Jennifer Jones","The Song of Bernadette",1943,25
17,"Ingrid Bergman",Gaslight,1944,29
18,"Joan Crawford","Mildred Pierce",1945,40
19,"Olivia de Havilland","To Each His Own",1946,30
20,"Loretta Young","The Farmer's Daughter",1947,35
21,"Jane Wyman","Johnny Belinda",1948,32
22,"Olivia de Havilland","The Heiress",1949,33
23,"Judy Holliday","Born Yesterday",1950,29
24,"Vivien Leigh","A Streetcar Named Desire",1951,38
25,"Shirley Booth","Come Back",1952,54
26,"Audrey Hepburn","Roman Holiday",1953,24
27,"Grace Kelly","The Country Girl",1954,25
28,"Anna Magnani","The Rose Tattoo",1955,48
29,"Ingrid Bergman",Anastasia,1956,41
30,"Joanne Woodward","The Three Faces of Eve",1957,28
31,"Susan Hayward","I Want to Live!",1958,41
32,"Simone Signoret","Room at the Top",1959,39
33,"Elizabeth Taylor","BUtterfield 8",1960,29
34,"Sophia Loren","Two Women",1961,27
35,"Anne Bancroft","The Miracle Worker",1962,31
36,"Patricia Neal",Hud,1963,31
37,"Julie Andrews","Mary Poppins",1964,29
38,"Julie Christie",Darling,1965,25
39,"Elizabeth Taylor","Who's Afraid of Virginia Woolf?",1966,35
40,"Katharine Hepburn","Guess Who's Coming to Dinner",1967,60
41,"Katharine Hepburn","The Lion in Winter",1968,61
42,"Barbra Streisand","Funny Girl",1969,26
43,"Maggie Smith","The Prime of Miss Jean Brodie",1970,35
44,"Glenda Jackson","Women in Love",1971,34
45,"Jane Fonda",Klute,1972,34
46,"Liza Minnelli",Cabaret,1973,27
47,"Glenda Jackson","A Touch of Class",1974,37
48,"Ellen Burstyn","Alice Doesn't Live Here Anymore",1975,42
49,"Louise Fletcher","One Flew Over the Cuckoo's Nest",1976,41
50,"Faye Dunaway",Network,1977,36
51,"Diane Keaton","Annie Hall",1978,32
52,"Jane Fonda","Coming Home",1979,41
53,"Sally Field","Norma Rae",1980,33
54,"Sissy Spacek","Coal Miner's Daughter",1981,31
55,"Katharine Hepburn","On Golden Pond",1982,74
56,"Meryl Streep","Sophie's Choice",1983,33
57,"Shirley MacLaine","Terms of Endearment",1984,49
58,"Sally Field","Places in the Heart",1985,38
59,"Geraldine Page","The Trip to Bountiful",1986,61
60,"Marlee Matlin","Children of a Lesser God",1987,21
61,Cher,Moonstruck,1988,41
62,"Jodie Foster","The Accused",1989,26
63,"Jessica Tandy","Driving Miss Daisy",1990,80
64,"Kathy Bates",Misery,1991,42
65,"Jodie Foster","The Silence of the Lambs",1992,29
66,"Emma Thompson","Howards End",1993,33
67,"Holly Hunter","The Piano",1994,36
68,"Jessica Lange","Blue Sky",1995,45
69,"Susan Sarandon","Dead Man Walking",1996,49
70,"Frances McDormand",Fargo,1997,39
71,"Helen Hunt","As Good as It Gets",1998,34
72,"Gwyneth Paltrow","Shakespeare in Love",1999,26
73,"Hilary Swank","Boys Don't Cry",2000,25
74,"Julia Roberts","Erin Brockovich",2001,33
75,"Halle Berry","Monster's Ball",2002,35
76,"Nicole Kidman","The Hours",2003,35
77,"Charlize Theron",Monster,2004,28
78,"Hilary Swank","Million Dollar Baby",2005,30
79,"Reese Witherspoon","Walk the Line",2006,29
80,"Helen Mirren","The Queen",2007,61
81,"Marion Cotillard","La Vie en rose",2008,32
82,"Kate Winslet","The Reader",2009,33
83,"Sandra Bullock","The Blind Side",2010,45
84,"Natalie Portman","Black Swan",2011,29
85,"Meryl Streep","The Iron Lady",2012,62
86,"Jennifer Lawrence","Silver Linings Playbook",2013,22
87,"Cate Blanchett","Blue Jasmine",2014,44
88,"Julianne Moore","Still Alice",2015,54
89,"Brie Larson",Room,2016,26
